gene_class,symbol,geneid,samp1,samp2,samp3,samp4,samp5,samp6,samp7,samp8,samp9,samp10,samp11,samp12
Endogenous,SOD1,NM_000454.4,5840,396,861,4216,519,154,535,490,1024,855,1012,981
Endogenous,SOD2,NM_000636.2,1438,168,297,983,155,442,325,228,297,214,342,372
Endogenous,SOS1,NM_005633.2,7850,136,337,3602,236,134,298,232,194,164,440,460
Endogenous,SQSTM1,NM_003900.3,2781,300,569,2190,296,116,325,360,545,288,503,519
Endogenous,SREBF1,NM_001005291.1,1084,74,117,606,76,53,127,76,136,55,153,108
Endogenous,SREBF2,NM_004599.2,1739,202,263,1118,274,196,382,303,461,264,417,498
Endogenous,SRM,NM_003132.2,7176,137,232,5851,231,133,220,178,288,251,310,256
Endogenous,STAT1,NM_007315.3,17017,393,613,8316,506,796,781,508,933,640,814,969
Endogenous,STAT3,NM_003150.3,2991,485,844,2183,593,484,709,561,900,472,843,861
Endogenous,STAT5A,NM_003152.2,980,118,187,700,144,86,154,139,204,123,204,174
Endogenous,STAT6,NM_003153.3,2089,380,533,1169,615,670,675,518,405,291,977,762
Endogenous,STK11,NM_000455.4,2041,230,430,1154,277,172,332,269,347,213,450,446
Endogenous,TALDO1,NM_006755.1,3945,200,389,3279,253,99,283,275,442,390,528,454
Endogenous,TBX21,NM_013351.1,842,157,321,619,150,73,279,217,479,221,297,365
Endogenous,TECR,NR_038104.1,3294,142,309,1663,261,89,245,227,359,180,426,410
Endogenous,TET2,NM_001127208.2,879,144,281,430,173,87,187,172,188,114,322,279
Endogenous,TFAM,NM_003201.1,1436,62,140,1050,98,56,120,83,144,101,203,139
Endogenous,TFRC,NM_003234.1,11461,523,929,7520,427,341,837,741,1152,362,878,1066
Endogenous,TIGIT,NM_173799.2,106,626,1463,51,858,350,724,524,883,501,1415,840
Endogenous,TKT,NM_001064.2,3749,137,273,2724,218,107,226,199,388,264,471,383
Endogenous,TNF,NM_000594.2,2632,424,481,1767,423,215,577,365,1089,518,717,1083
Endogenous,TNFRSF4,NM_003327.3,240,124,323,240,82,82,158,151,418,194,173,289
Endogenous,TP53,NM_000546.2,3797,154,357,2301,256,74,240,162,352,275,469,362
Endogenous,TPR,NM_003292.2,2095,196,280,1124,197,214,215,187,232,131,370,261
Endogenous,TRAF1,NM_005658.3,3305,377,664,2048,555,388,712,500,645,355,816,912
Endogenous,TRAT1,NM_016388.2,3331,368,658,1768,715,219,645,592,800,457,1232,1129
Endogenous,TXN,NM_003329.2,16832,529,901,14455,725,573,1029,1067,1583,1317,1513,1507
Endogenous,TXN2,NM_012473.3,1904,121,254,1514,158,76,194,183,246,214,296,267
Endogenous,TXNRD1,NM_001093771.1,4636,187,368,3108,269,134,279,223,329,241,476,380
Endogenous,TYMP,NM_001953.3,850,164,296,535,176,213,369,280,502,245,335,579
Endogenous,TYMS,NM_001071.2,9515,216,570,5701,228,58,211,230,555,419,548,330
Endogenous,UCKL1,NM_001193379.1,2290,191,364,1302,248,200,331,257,334,188,411,394
Endogenous,UPP1,NM_003364.2,2044,54,77,1002,60,81,111,134,175,75,116,183
Endogenous,UQCR10,NM_001003684.1,2432,138,330,1732,212,105,247,172,332,299,436,360
Endogenous,UQCRQ,NM_014402.4,4439,227,452,3789,270,176,333,282,511,462,502,399
Endogenous,USP8,NM_001128610.1,1168,122,274,721,175,99,212,168,236,130,286,265
Endogenous,VHL,NM_000551.2,2546,268,603,1660,380,255,414,355,552,347,662,590
Endogenous,VPS28,NM_016208.3,2515,339,650,1511,374,218,482,387,585,379,716,637
Endogenous,YWHAZ,NM_003406.2,21680,1752,3763,13506,2775,1470,3093,2591,3344,2593,5088,4228
Endogenous,ZAP70,NM_001079.3,6003,914,2524,2951,1447,885,1741,1153,1151,725,2589,1875
Endogenous,ASL,NM_000048.3,821,71,169,432,69,36,112,96,136,65,153,144
Endogenous,ATOX1,NM_004045.3,1193,60,155,1016,71,15,85,79,149,151,171,172
Endogenous,BAD,NM_004322.3,621,42,93,452,54,73,93,72,105,79,125,104
Endogenous,BCL2,NM_000657.2,3375,141,180,1903,108,41,131,189,547,94,254,323
Endogenous,BIRC3,NM_182962.1,360,80,114,311,38,114,93,95,125,80,95,118
Endogenous,BRCC3,NM_024332.3,1159,77,159,832,110,42,123,92,154,95,205,167
Endogenous,BUB1,NM_004336.3,3764,108,222,1979,133,28,91,79,196,148,265,143
Endogenous,CAT,NM_001752.2,819,116,261,530,132,49,194,174,296,175,356,341
Endogenous,CCNA2,NM_001237.2,6551,205,412,3817,262,29,178,170,416,365,652,306
Endogenous,CCNB2,NM_004701.2,2027,74,209,1198,93,7,68,72,176,145,239,112
Endogenous,CDC20,NM_001255.2,5728,187,393,3301,178,40,123,134,324,286,453,221
Endogenous,CDCA5,NM_080668.3,2679,80,172,1674,107,25,64,68,165,158,166,95
Endogenous,CLSPN,NM_022111.2,3479,72,202,1818,109,21,78,94,166,107,202,158
Endogenous,CTPS1,NM_001301237.1,3102,82,156,2259,146,33,130,123,204,112,253,165
Endogenous,EOMES,NM_005442.2,107,68,108,95,219,38,122,69,73,68,287,125
Endogenous,FANCA,NM_000135.2,2634,60,151,1326,72,28,93,70,167,90,133,90
Endogenous,FANCD2,NM_033084.3,2379,54,139,1268,92,22,65,86,146,91,180,122
Endogenous,FANCI,NM_001113378.1,3440,116,218,1895,142,32,109,135,295,147,275,171
Endogenous,FASLG,NM_000639.1,281,122,170,343,149,31,162,97,179,85,223,160
Endogenous,FOXM1,NM_202002.1,1976,61,137,1140,76,18,53,51,127,113,131,109
Endogenous,GBA,NM_001005742.2,1101,62,138,559,88,29,111,96,110,74,164,155
Endogenous,GMPS,NM_003875.2,1485,62,176,1065,120,38,89,89,145,87,151,144
Endogenous,GRAP2,NM_001291826.1,1971,65,77,1103,123,38,157,127,123,78,233,173
Endogenous,GTSE1,NM_016426.5,2888,88,199,1374,97,17,89,81,193,131,244,121
Endogenous,HADH,NM_001184705.2,1455,60,107,818,67,30,72,68,119,124,148,101
Endogenous,HJURP,NM_018410.3,2719,66,153,1192,67,17,62,68,124,81,182,102
Endogenous,HMOX1,NM_002133.2,60,99,143,56,143,28,93,98,184,119,284,175
