gene_class,symbol,geneid,samp1,samp2,samp3,samp4,samp5,samp6,samp7,samp8,samp9,samp10,samp11,samp12
Endogenous,TRAV8-2,TCRVA_010.1,1472,357,107,1315,163,259,1099,449,1565,1159,330,701
Endogenous,TRBC1/2,ENST00000466254.1,27939,7229,18057,28473,12588,4714,11916,10809,27052,23535,24757,19750
Endogenous,TRBV10-3,TCRVB_028.1,621,133,257,594,102,65,144,743,201,214,136,184
Endogenous,TRBV19,TCRVB_040.1,702,251,231,678,138,231,175,488,488,274,285,584
Endogenous,TRBV6-5,TCRVB_014.1,1245,116,169,1168,848,68,1847,750,2670,1558,156,352
Endogenous,TRBV7-2,TCRVB_018.1,761,64,10586,787,139,105,96,504,390,108,4811,224
Endogenous,TRGV3/5,ENST00000390346.1,288,181,879,291,187,59,528,236,545,438,290,287
Endogenous,TRIM22,NM_006074.3,829,208,331,683,408,153,312,380,965,627,599,566
Endogenous,TRIM25,NM_005082.4,1247,127,196,1465,200,105,201,183,650,489,286,297
Endogenous,TRIM26,NM_001242783.1,957,212,276,953,252,153,246,208,599,551,403,377
Endogenous,TRIM33,NM_015906.3,1085,208,310,1128,266,113,330,362,813,664,435,451
Endogenous,TYK2,NM_003331.4,1275,276,402,1373,360,221,389,396,1016,888,515,485
Endogenous,UBE2F,NM_080678.1,1533,218,256,1455,190,137,211,271,720,469,277,387
Endogenous,UBE2I,NM_194260.2,2560,218,386,2834,348,112,344,384,856,696,560,501
Endogenous,UBE2V1,NM_001257397.1,4439,681,1265,4578,1014,276,953,1069,2370,1766,1739,1493
Endogenous,UQCR10,NM_001003684.1,1222,94,173,1231,157,66,152,124,350,291,250,244
Endogenous,UQCRQ,NM_014402.4,3294,218,344,3526,294,133,302,280,751,588,435,380
Endogenous,USP15,NM_001252078.1,1502,226,302,1344,310,138,331,447,964,879,493,525
Endogenous,VAV1,NM_005428.2,1116,222,350,1037,399,125,423,449,857,915,676,545
Endogenous,WAS,NM_000377.2,2721,392,656,2573,681,260,613,680,1350,1177,996,826
Endogenous,XAF1,NM_199139.2,888,110,140,1055,190,121,193,161,581,381,265,419
Endogenous,ZAP70,NM_001079.3,3213,918,2016,3105,1545,744,1698,1466,3151,3806,2519,1870
Endogenous,ACOT2,NM_006821.4,466,62,107,420,81,47,79,92,231,186,115,98
Endogenous,ALDOC,NM_005165.2,433,103,104,469,65,50,124,145,684,225,125,161
Endogenous,ARAF,NM_001654.3,401,70,82,393,85,42,96,109,211,213,150,112
Endogenous,ATG14,NM_014924.3,176,72,62,196,66,34,96,112,236,207,125,111
Endogenous,ATP5MF,NM_004889.2,1087,126,197,1049,161,29,190,214,314,294,242,255
Endogenous,BUB1,NM_004336.3,2041,88,179,1741,102,21,96,108,334,342,222,120
Endogenous,CCNC,NM_005190.3,1632,124,152,1755,152,53,178,164,366,307,281,216
